Date,BTC,ETH,BNB,SOL,TRX
10/16/2020,11322.12305,366.2290039,29.99489975,2.149385929,0.025738999
10/17/2020,11358.10156,368.8559265,30.2482357,2.201843023,0.025746001
10/18/2020,11483.35938,378.2136841,30.65952301,2.214267015,0.025936
10/19/2020,11742.03711,379.9356079,29.9250679,2.058079958,0.025861001
10/20/2020,11916.33496,369.1369019,28.80344391,1.888671994,0.026012
10/21/2020,12823.68945,392.1899719,29.77235413,1.890377998,0.026721001
10/22/2020,12965.8916,413.7729797,30.65819168,1.955652952,0.027042
10/23/2020,12931.53906,409.7666931,30.63396072,1.960034966,0.026691001
10/24/2020,13108.0625,412.4576111,30.58882141,1.911828041,0.02705
10/25/2020,13031.17383,406.2177734,30.10754013,1.787459016,0.026935
10/26/2020,13075.24805,393.8883057,31.15456009,1.685466051,0.026761999
10/27/2020,13654.21875,403.9970398,31.63872147,1.710232019,0.026961001
10/28/2020,13271.28516,388.6507568,30.36350632,1.490053058,0.026852001
10/29/2020,13437.88281,386.7301025,29.8424778,1.428936005,0.026489999
10/30/2020,13546.52246,382.8199768,28.50841141,1.441336036,0.025626
10/31/2020,13780.99512,386.590332,28.43121529,1.540699959,0.025769999
11/1/2020,13737.10938,396.3581848,28.46156502,1.599840045,0.025727
11/2/2020,13550.48926,383.1567383,27.88393021,1.47407198,0.024433
11/3/2020,13950.30078,387.6021729,26.85704994,1.412233949,0.024416
11/4/2020,14133.70703,402.1419983,26.93151474,1.392254949,0.024196001
11/5/2020,15579.84863,414.0673523,27.67585945,1.405218005,0.024962001
11/6/2020,15565.88086,454.7192993,29.01799965,1.913740039,0.026064999
11/7/2020,14833.75391,435.7131348,27.73809433,2.031964064,0.02492
11/8/2020,15479.56738,453.5547791,28.30511665,2.156598091,0.025365001
11/9/2020,15332.31543,444.1630554,28.01802063,2.028651953,0.024811
11/10/2020,15290.90234,449.6796265,28.19334221,2.247987032,0.024871999
11/11/2020,15701.33984,462.9605408,27.95617867,2.002125025,0.025054
11/12/2020,16276.34375,461.0052795,27.61480713,1.899137974,0.024937
11/13/2020,16317.80859,474.6264343,28.18217278,2.020792007,0.025405001
11/14/2020,16068.13867,460.1498413,27.9362011,1.917016029,0.025191
11/15/2020,15955.58789,447.559082,27.62103081,2.04323411,0.025409
11/16/2020,16716.11133,459.9403076,28.0641098,2.255354881,0.025596
11/17/2020,17645.40625,480.3600769,28.53058052,2.202181101,0.026467999
11/18/2020,17804.00586,479.4840698,28.07616234,2.115029097,0.026822001
11/19/2020,17817.08984,471.6304321,28.09410477,2.076769114,0.025801999
11/20/2020,18621.31445,509.7445679,28.89199638,2.095391989,0.02627
11/21/2020,18642.23242,549.4866333,30.39129066,2.382205009,0.030335
11/22/2020,18370.00195,558.0681152,29.92507172,2.144845009,0.028698999
11/23/2020,18364.12109,608.4540405,30.96536827,2.276376963,0.031672999
11/24/2020,19107.46484,603.8977661,33.80315018,2.267966986,0.035066999
11/25/2020,18732.12109,570.6866455,31.34296036,2.270034075,0.033105999
11/26/2020,17150.62305,518.8011475,28.204916,1.903036952,0.029386999
11/27/2020,17108.40234,517.4937134,28.4751873,1.857949018,0.029363001
11/28/2020,17717.41406,538.2297974,29.14391136,1.88893497,0.030435
11/29/2020,18177.48438,575.7580566,30.1176033,1.915155053,0.030699
11/30/2020,19625.83594,614.8425293,31.39278603,1.96689105,0.03232
12/1/2020,18802.99805,587.3241577,30.10830307,1.976307988,0.030277001
12/2/2020,19201.0918,598.352356,30.29736137,2.11540103,0.031196
12/3/2020,19445.39844,616.7087402,30.70442963,2.100370884,0.031640999
